Rank,playerId,abbrevName,playerFullName,player,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,fWAR,xWOBADf,wOBA,xWOBA,xAVG,xOBP,OBP,AVG,AB,RPW,RLR,rPOS,BSR,wRAA
2452,1309853952,B. Tallman,Ben Tallman,Tallman,C,University of Iowa,IOWA,1232,Iowa,BBC,R,R,.282,.025,.304,.279,.112,.277,.333,.182,22,3.11,0.57,1.44,.062,-1.191
2453,1233442048,W. Worthington,Will Worthington,Worthington,SS,University of San Diego,USD,5320,San Diego,BBC,R,R,.281,.107,.335,.228,.166,.244,.323,.254,114,3.20,2.44,0.80,-.920,-1.418
2454,1269696512,J. Jenkins,Jarrett Jenkins,Jenkins,2B,Georgia Southern University,GASO,730331648,Georgia Southern,BBC,R,R,.281,.342,.660,.318,.127,.418,.667,.500,2,3.19,0.06,0.00,.005,.834
2455,1236997888,A. Wildeman,Adam Wildeman,Wildeman,1B,University of Southern Indiana,SIND,730288640,Southern Indiana,BBC,L,R,.280,-,.479,.258,-,.375,.625,.400,5,3.00,0.16,-0.38,.004,1.057
2456,1124466432,W. Reiner,Will Reiner,Reiner,C,Villanova University,VILL,730278400,Villanova,BBC,L,R,.276,.026,.286,.261,.147,.334,.347,.164,55,3.19,1.35,3.06,.351,-3.879
2457,1143062272,C. Clark,Carson Clark,Clark,RF,Wright State University,WRST,5390,Wright State,BBC,S,R,.275,.074,.344,.270,.106,.344,.436,.236,55,3.17,1.45,-0.70,.318,-.201
2458,1272271104,C. Dorris,Chevalier Dorris,Dorris,2B,Alabama A&M University,AAMU,730365440,Alabama A&M,BBC,S,S,.275,.217,.302,.085,.003,.123,.360,.273,44,3.25,0.99,0.64,1.320,-2.059
2459,1336138240,C. Fellows,Cole Fellows,Fellows,LF,Columbia University,CLMB,730319104,Columbia,BBC,L,R,.274,.083,.362,.279,.218,.286,.348,.288,59,3.21,1.28,-1.91,.579,.930
2460,1297003776,J. Woodall,Jd Woodall,Woodall,LF,Davidson College,DAV,730363136,Davidson,BBC,R,R,.273,.081,.440,.359,.258,.443,.500,.333,6,3.00,0.14,0.00,.014,.663
2461,1251450880,N. Perez,Noel Perez,Perez,3B,Florida International University,FIU,4468,Florida International,BBC,L,R,.272,-.018,.337,.355,.350,.394,.362,.314,51,3.26,1.15,0.52,-.264,-.518
